Designator,Mid X,Mid Y,Layer,Rotation
C26,87.000,14.000,Bottom,0.0
C27,86.500,20.500,Bottom,0.0
C28,52.000,11.000,Bottom,180.0
C29,56.586,12.586,Bottom,0.0
C30,53.672,12.672,Bottom,0.0
C31,52.000,19.000,Bottom,180.0
C32,54.000,21.000,Bottom,180.0
C33,53.000,15.000,Bottom,0.0
C34,59.828,12.172,Bottom,0.0
C35,63.757,44.757,Bottom,0.0
C36,63.757,46.172,Bottom,0.0
C37,62.343,43.343,Bottom,0.0
C38,64.465,50.465,Bottom,0.0
C39,61.636,48.293,Bottom,0.0
C40,82.414,44.414,Bottom,0.0
C41,81.828,47.828,Bottom,0.0
C42,82.000,46.000,Bottom,0.0
C43,84.000,46.000,Bottom,0.0
C44,78.621,42.879,Bottom,0.0
C45,73.000,45.000,Bottom,0.0
C46,72.879,47.121,Bottom,0.0
C47,81.535,42.465,Bottom,0.0
C48,71.500,43.000,Bottom,0.0
C49,77.500,41.500,Bottom,0.0
C50,72.965,40.965,Bottom,0.0
C51,68.500,66.000,Top,0.0
C52,68.500,54.000,Top,0.0
C53,55.500,62.500,Top,0.0
C54,47.500,59.500,Bottom,180.0
C55,46.500,53.500,Bottom,180.0
C56,46.500,51.500,Bottom,180.0
C57,13.500,20.500,Bottom,0.0
C58,15.500,20.500,Bottom,0.0
C59,41.000,21.000,Bottom,0.0
C60,42.000,35.000,Bottom,180.0
C61,21.500,42.500,Top,0.0
C62,24.500,44.500,Top,0.0
C63,66.250,2.000,Bottom,0.0
C64,49.500,60.000,Bottom,0.0
C65,68.000,65.000,Bottom,0.0
C66,86.879,65.121,Bottom,0.0
C67,3.000,49.000,Bottom,0.0
C68,43.293,49.707,Bottom,0.0
C69,41.500,50.000,Bottom,0.0
C70,49.500,34.500,Bottom,180.0
C71,54.500,28.500,Bottom,180.0
C72,45.500,49.000,Bottom,0.0
C73,45.086,45.086,Bottom,0.0
C74,89.000,66.000,Bottom,0.0
C75,89.000,61.000,Bottom,0.0
C77,68.600,2.000,Bottom,0.0
C78,75.000,43.000,Bottom,180.0
C79,80.500,40.500,Bottom,180.0
C80,83.000,41.000,Bottom,180.0
C81,84.500,42.500,Bottom,180.0
C82,81.800,4.000,Bottom,0.0
Y1,22.000,35.000,Top,0.0
Y2,33.000,48.000,Top,0.0
L1,52.757,19.243,Top,0.0
L2,59.757,44.757,Top,0.0
L3,78.000,52.000,Top,180.0
L4,58.000,66.000,Top,0.0
L5,72.000,57.000,Top,0.0
D1,58.000,56.000,Top,0.0
FB1,26.000,43.000,Top,0.0
FB2,33.000,45.000,Top,0.0
FB3,52.000,35.000,Top,0.0
FB4,54.000,58.000,Top,0.0
