Designator,Mid X,Mid Y,Layer,Rotation
C18,75.150mm,3.650mm,Bottom,180.0
C19,80.000mm,2.150mm,Bottom,180.0
C20,76.000mm,24.000mm,Bottom,180.0
C21,79.000mm,23.000mm,Bottom,180.0
C22,27.000mm,25.000mm,Top,0.0
C23,28.200mm,47.200mm,Top,0.0
C24,26.000mm,7.000mm,Bottom,180.0
C25,26.000mm,5.000mm,Bottom,180.0
C26,30.000mm,7.000mm,Bottom,180.0
C27,33.500mm,5.500mm,Bottom,180.0
C28,10.500mm,45.200mm,Top,0.0
C29,14.500mm,43.700mm,Top,0.0
C30,17.500mm,43.200mm,Top,0.0
C31,18.500mm,44.700mm,Top,0.0
C32,8.000mm,47.400mm,Top,0.0
C33,8.500mm,49.400mm,Top,0.0
C34,14.500mm,45.400mm,Top,0.0
C35,42.000mm,41.000mm,Top,0.0
C36,32.000mm,47.000mm,Top,0.0
C37,39.000mm,42.000mm,Top,0.0
C38,34.000mm,49.000mm,Top,0.0
C39,42.500mm,44.000mm,Top,0.0
C40,58.500mm,40.500mm,Top,0.0
C41,43.500mm,45.400mm,Top,0.0
C42,44.000mm,42.400mm,Top,0.0
C43,51.000mm,46.900mm,Top,0.0
C44,53.000mm,46.900mm,Top,0.0
C45,52.500mm,43.400mm,Top,0.0
C46,59.000mm,42.400mm,Top,0.0
C47,44.000mm,47.300mm,Top,0.0
C48,48.000mm,45.800mm,Top,0.0
C49,52.000mm,45.300mm,Top,0.0
C50,48.000mm,43.800mm,Top,0.0
C51,73.500mm,42.500mm,Top,0.0
C52,77.500mm,41.500mm,Top,0.0
C53,80.700mm,38.000mm,Top,0.0
C54,81.400mm,39.500mm,Top,0.0
C55,77.000mm,39.300mm,Top,0.0
C56,81.700mm,41.800mm,Top,0.0
C57,25.000mm,28.500mm,Top,0.0
C58,24.000mm,30.000mm,Top,0.0
C59,25.000mm,33.000mm,Top,0.0
C60,23.500mm,31.500mm,Top,0.0
C61,22.000mm,45.000mm,Top,0.0
C62,25.000mm,44.000mm,Top,0.0
C63,82.850mm,1.650mm,Bottom,180.0
C64,72.000mm,45.000mm,Top,0.0
C65,74.000mm,45.000mm,Top,0.0
C66,74.500mm,46.500mm,Top,0.0
C67,5.500mm,44.500mm,Top,0.0
C68,41.500mm,26.500mm,Bottom,180.0
C69,42.500mm,27.500mm,Bottom,180.0
C70,45.000mm,27.000mm,Bottom,180.0
C71,39.000mm,29.000mm,Bottom,180.0
C72,41.000mm,29.000mm,Bottom,180.0
C73,43.000mm,29.000mm,Bottom,180.0
C74,69.500mm,46.500mm,Bottom,180.0
C75,68.500mm,42.500mm,Bottom,180.0
C77,84.200mm,2.650mm,Bottom,180.0
C78,20.000mm,12.800mm,Bottom,180.0
C79,21.800mm,12.800mm,Bottom,180.0
C80,23.600mm,12.800mm,Bottom,180.0
C81,25.400mm,12.800mm,Bottom,180.0
C82,83.800mm,4.000mm,Bottom,180.0
Y1,34.000mm,42.000mm,Top,0.0
Y2,36.000mm,21.000mm,Top,0.0
L1,24.000mm,53.000mm,Top,0.0
L2,38.000mm,45.500mm,Top,0.0
L3,58.000mm,47.000mm,Top,0.0
L4,81.000mm,35.000mm,Top,0.0
L5,78.000mm,45.000mm,Top,0.0
D1,86.000mm,39.000mm,Top,0.0
FB1,27.000mm,38.000mm,Top,0.0
FB2,47.000mm,41.000mm,Top,0.0
FB3,51.000mm,41.000mm,Top,0.0
FB4,55.000mm,41.000mm,Top,0.0
